	WT_R1	WT_R2	mutant_R1	mutant_R2
WBGene00018223	963.87397432471	943.13047305159	1533.61884290415	1531.32062543753
WBGene00018224	101.926903032038	99.9047299517099	89.2287326780599	113.572946386617
WBGene00019341	156.583358281102	157.312671789633	107.353319003291	142.92325837417
WBGene00197405	0	0	0	0
WBGene00019340	1.47720149321795	1.49111537241358	0	0
WBGene00019342	2.21580223982692	2.98223074482716	1.39419894809469	1.27610052119794
WBGene00019339	0	0	0	0
WBGene00019338	0	0	1.39419894809469	2.55220104239589
WBGene00019337	5.17020522626281	2.98223074482716	2.78839789618937	0
WBGene00019335	3.69300373304487	0.74555768620679	0	0
WBGene00220002	30.2826306109679	36.5323266241327	59.9505547680715	65.0811265810952
WBGene00019343	8.86320895930768	5.21890380344753	0	2.55220104239589
WBGene00017280	68.6898694346345	78.283557051713	87.8345337299652	65.0811265810952
WBGene00005587	0.738600746608973	0	1.39419894809469	0
WBGene00005586	0.738600746608973	0.74555768620679	0	1.27610052119794
WBGene00005548	0.738600746608973	0	0	0
WBGene00045457	0	1.49111537241358	0	1.27610052119794
WBGene00005551	0	0	0	0
WBGene00018020	11.8176119457436	3.72778843103395	8.36519368856812	3.82830156359383
WBGene00018019	0.738600746608973	0	1.39419894809469	0
WBGene00005589	0	0.74555768620679	0	2.55220104239589
WBGene00005588	2.95440298643589	0.74555768620679	0	0
WBGene00005550	0	0	0	0
WBGene00194711	0.738600746608973	0	1.39419894809469	1.27610052119794
WBGene00219667	4.43160447965384	3.72778843103395	1.39419894809469	1.27610052119794
WBGene00017059	4.43160447965384	1.49111537241358	15.3361884290415	7.65660312718767
WBGene00017058	8.12460821269871	5.96446148965432	16.7303873771362	10.2088041695836
WBGene00017057	0	0	1.39419894809469	0
WBGene00017056	0	0	0	1.27610052119794
WBGene00044301	0	0	0	0
WBGene00005583	0	0	0	0
WBGene00005549	0	0	0	0
WBGene00017055	0	0	0	0
WBGene00005553	0	0	0	0
WBGene00044363	0	0	0	1.27610052119794
WBGene00017708	7.38600746608973	8.20113454827469	11.1535915847575	11.4849046907815
WBGene00017707	0.738600746608973	0	2.78839789618937	0
WBGene00017706	0	0	0	0
WBGene00017709	3.69300373304487	5.21890380344753	1.39419894809469	3.82830156359383
